customer_id,signup_date,country
C-001,2026-02-01,IT
C-002,2026-01-24,PT
C-003,2026-04-03,FR
C-004,2026-01-07,PT
C-005,2026-01-07,DE
C-006,2026-02-08,ES
C-007,2026-03-01,IT
C-008,2026-03-11,PT
C-009,2026-04-11,PT
C-010,2026-01-28,PT
C-011,2026-03-24,ES
C-012,2026-05-13,PT
C-013,2026-03-20,PT
C-014,2026-03-02,DE
C-015,2026-01-03,PT
C-016,2026-02-15,FR
C-017,2026-01-12,PT
C-018,2026-03-22,DE
C-019,2026-02-18,IT
C-020,2026-02-09,FR
C-021,2026-01-11,IT
C-022,2026-01-02,PT
C-023,2026-01-30,FR
C-024,2026-01-21,ES
C-025,2026-04-15,PT
C-026,2026-01-18,ES
C-027,2026-02-19,PT
C-028,2026-05-05,ES
C-029,2026-03-28,PT
C-030,2026-01-22,PT
C-031,2026-02-20,ES
C-032,2026-05-28,PT
C-033,2026-01-29,ES
C-034,2026-03-11,PT
C-035,2026-01-01,IT
C-036,2026-01-17,IT
C-037,2026-04-28,FR
C-038,2026-02-20,PT
C-039,2026-03-18,IT
C-040,2026-04-20,PT
C-041,2026-01-12,PT
C-042,2026-01-19,PT
C-043,2026-02-03,IT
C-044,2026-01-22,ES
C-045,2026-01-17,FR
C-046,2026-01-18,IT
C-047,2026-01-10,PT
C-048,2026-03-15,ES
C-049,2026-01-03,PT
C-050,2026-02-19,PT
C-051,2026-03-02,PT
C-052,2026-01-11,PT
C-053,2026-01-16,PT
C-054,2026-03-29,FR
C-055,2026-01-16,PT
C-056,2026-01-14,PT
C-057,2026-02-24,PT
C-058,2026-05-04,PT
C-059,2026-01-28,PT
C-060,2026-01-15,PT
