order_id,customer_id,order_ts,amount,currency,items
O-1062,C-035,2026-01-06T20:10:00,151.80,EUR,SKU-104:2:39.90|SKU-106:1:59.00|SKU-109:2:6.50
O-1006,C-005,2026-01-09T18:28:26,55.50,EUR,SKU-112:2:27.75
O-1037,C-022,2026-01-14T14:46:14,458.00,EUR,SKU-111:3:119.00|SKU-110:2:44.00|SKU-109:2:6.50
O-1116,C-060,2026-01-15T17:14:30,13.00,EUR,SKU-109:2:6.50
O-1028,C-017,2026-01-16T15:05:52,167.00,EUR,SKU-111:1:119.00|SKU-103:2:24.00
O-1103,C-055,2026-01-17T08:48:07,202.25,EUR,SKU-105:1:12.25|SKU-103:3:24.00|SKU-106:2:59.00
O-1074,C-042,2026-01-19T19:05:47,211.80,EUR,SKU-104:2:39.90|SKU-110:3:44.00
O-1117,C-060,2026-01-20T09:27:12,386.97,EUR,SKU-107:3:19.99|SKU-111:2:119.00|SKU-108:1:89.00
O-1106,C-056,2026-01-21T13:02:14,55.50,EUR,SKU-112:2:27.75
O-1005,C-004,2026-01-21T21:38:32,126.75,EUR,SKU-102:3:14.50|SKU-112:3:27.75
O-1055,C-030,2026-01-22T13:20:08,238.00,EUR,SKU-111:2:119.00
O-1063,C-036,2026-01-22T17:13:06,217.90,EUR,SKU-104:1:39.90|SKU-108:2:89.00
O-1084,C-046,2026-01-23T12:08:28,29.00,EUR,SKU-102:2:14.50
O-1002,C-002,2026-01-25T12:17:55,29.97,EUR,SKU-101:3:9.99
O-1073,C-041,2026-01-27T08:20:50,400.50,EUR,SKU-102:3:14.50|SKU-111:3:119.00
O-1044,C-026,2026-01-28T15:47:03,117.97,EUR,SKU-110:2:44.00|SKU-101:3:9.99
O-1012,C-010,2026-01-28T18:29:30,64.48,EUR,SKU-107:2:19.99|SKU-105:2:12.25
O-1099,C-053,2026-01-28T20:55:02,178.00,EUR,SKU-108:2:89.00
O-1111,C-059,2026-01-29T17:30:00,24.50,EUR,SKU-105:2:12.25
O-1045,C-026,2026-01-30T09:20:21,167.47,EUR,SKU-110:2:44.00|SKU-109:3:6.50|SKU-107:3:19.99
O-1003,C-002,2026-01-30T09:58:36,44.00,EUR,SKU-110:1:44.00
