event_id,customer_id,event_ts,event_type
E-854,C-049,2026-01-06T17:12:00,login
E-855,C-049,2026-01-06T17:12:38,view_product
E-856,C-049,2026-01-06T17:14:03,view_product
E-857,C-049,2026-01-06T17:14:21,view_product
E-570,C-035,2026-01-06T20:08:00,login
E-571,C-035,2026-01-06T20:08:30,view_product
E-572,C-035,2026-01-06T20:08:59,add_to_cart
E-573,C-035,2026-01-06T20:10:00,checkout
E-42,C-005,2026-01-09T18:27:15,view_product
E-43,C-005,2026-01-09T18:27:33,add_to_cart
E-44,C-005,2026-01-09T18:28:26,checkout
E-959,C-052,2026-01-12T14:40:00,login
E-960,C-052,2026-01-12T14:40:44,view_product
E-961,C-052,2026-01-12T14:41:53,view_product
E-962,C-052,2026-01-12T14:42:19,view_product
E-359,C-022,2026-01-14T14:43:00,login
E-360,C-022,2026-01-14T14:44:11,view_product
E-361,C-022,2026-01-14T14:44:35,view_product
E-362,C-022,2026-01-14T14:45:00,view_product
E-363,C-022,2026-01-14T14:45:19,add_to_cart
E-364,C-022,2026-01-14T14:46:14,checkout
E-858,C-049,2026-01-14T15:45:00,login
E-859,C-049,2026-01-14T15:45:23,view_product
E-860,C-049,2026-01-14T15:46:30,view_product
E-1115,C-060,2026-01-15T17:12:37,view_product
E-1116,C-060,2026-01-15T17:13:33,view_product
E-1117,C-060,2026-01-15T17:13:52,add_to_cart
E-1118,C-060,2026-01-15T17:14:30,checkout
E-271,C-017,2026-01-16T15:02:00,login
E-272,C-017,2026-01-16T15:02:57,view_product
E-273,C-017,2026-01-16T15:03:24,view_product
E-274,C-017,2026-01-16T15:04:35,view_product
E-275,C-017,2026-01-16T15:05:14,add_to_cart
E-276,C-017,2026-01-16T15:05:52,checkout
E-1006,C-055,2026-01-17T08:45:00,login
E-1007,C-055,2026-01-17T08:45:35,view_product
E-1008,C-055,2026-01-17T08:46:07,add_to_cart
E-1009,C-055,2026-01-17T08:48:07,checkout
E-1040,C-056,2026-01-18T08:59:00,login
E-1041,C-056,2026-01-18T09:00:24,view_product
E-1042,C-056,2026-01-18T09:01:18,add_to_cart
E-574,C-035,2026-01-19T11:40:31,view_product
E-575,C-035,2026-01-19T11:41:24,view_product
E-736,C-042,2026-01-19T19:02:00,login
E-737,C-042,2026-01-19T19:03:24,view_product
E-738,C-042,2026-01-19T19:04:23,add_to_cart
E-739,C-042,2026-01-19T19:05:47,checkout
E-430,C-026,2026-01-20T09:12:18,view_product
E-431,C-026,2026-01-20T09:13:32,view_product
E-432,C-026,2026-01-20T09:14:59,view_product
E-1119,C-060,2026-01-20T09:23:00,login
E-1120,C-060,2026-01-20T09:24:05,view_product
E-1121,C-060,2026-01-20T09:25:35,view_product
E-1122,C-060,2026-01-20T09:26:02,view_product
E-1123,C-060,2026-01-20T09:26:32,add_to_cart
E-1124,C-060,2026-01-20T09:27:12,checkout
E-576,C-035,2026-01-21T09:32:00,login
E-577,C-035,2026-01-21T09:33:29,view_product
E-578,C-035,2026-01-21T09:34:03,view_product
E-579,C-035,2026-01-21T09:34:39,view_product
E-1043,C-056,2026-01-21T13:00:00,login
E-1044,C-056,2026-01-21T13:00:54,view_product
E-1045,C-056,2026-01-21T13:01:22,view_product
E-1046,C-056,2026-01-21T13:01:47,add_to_cart
E-1047,C-056,2026-01-21T13:02:14,checkout
E-379,C-024,2026-01-21T17:19:00,login
E-380,C-024,2026-01-21T17:20:19,view_product
E-381,C-024,2026-01-21T17:21:01,view_product
E-382,C-024,2026-01-21T17:21:35,view_product
E-1010,C-055,2026-01-21T19:56:00,login
E-1011,C-055,2026-01-21T19:56:57,view_product
E-32,C-004,2026-01-21T21:34:00,login
E-33,C-004,2026-01-21T21:35:22,view_product
E-34,C-004,2026-01-21T21:35:38,view_product
E-35,C-004,2026-01-21T21:37:03,view_product
E-36,C-004,2026-01-21T21:37:55,add_to_cart
E-37,C-004,2026-01-21T21:38:32,checkout
E-514,C-030,2026-01-22T13:15:00,login
E-515,C-030,2026-01-22T13:15:28,view_product
E-516,C-030,2026-01-22T13:16:57,view_product
E-517,C-030,2026-01-22T13:17:54,view_product
E-518,C-030,2026-01-22T13:18:26,add_to_cart
E-519,C-030,2026-01-22T13:20:08,checkout
E-590,C-036,2026-01-22T17:09:00,login
E-591,C-036,2026-01-22T17:09:55,view_product
E-592,C-036,2026-01-22T17:10:54,view_product
E-593,C-036,2026-01-22T17:12:00,view_product
E-594,C-036,2026-01-22T17:12:33,add_to_cart
E-595,C-036,2026-01-22T17:13:06,checkout
E-740,C-042,2026-01-22T17:49:00,login
E-741,C-042,2026-01-22T17:49:45,view_product
E-742,C-042,2026-01-22T17:50:38,view_product
E-833,C-046,2026-01-23T12:06:00,login
E-834,C-046,2026-01-23T12:07:10,view_product
E-835,C-046,2026-01-23T12:07:55,add_to_cart
E-836,C-046,2026-01-23T12:08:28,checkout
